,Flow projection
2025-03-29 00:00:00-07:00,2365.1304338890363
2025-03-30 00:00:00-07:00,2483.8260727762295
2025-03-31 00:00:00-07:00,3157.868116321539
2025-04-01 00:00:00-07:00,3637.6196394903222
2025-04-02 00:00:00-07:00,3364.1403635586744
2025-04-03 00:00:00-07:00,2784.390955488607
2025-04-04 00:00:00-07:00,2314.6786479794514
2025-04-05 00:00:00-07:00,1979.7445547195687
2025-04-06 00:00:00-07:00,1716.6279415373938
2025-04-07 00:00:00-07:00,1488.1329207099857
2025-04-08 00:00:00-07:00,1325.5980366876822
2025-04-09 00:00:00-07:00,1172.1907356321567
2025-04-10 00:00:00-07:00,1059.020518284286
2025-04-11 00:00:00-07:00,946.335601475669
2025-04-12 00:00:00-07:00,867.5233625097387
2025-04-13 00:00:00-07:00,788.7111235438083
2025-04-14 00:00:00-07:00,722.3433732176314
2025-04-15 00:00:00-07:00,667.4476008364755
2025-04-16 00:00:00-07:00,612.5518284553198
2025-04-17 00:00:00-07:00,568.6619720202808
2025-04-18 00:00:00-07:00,530.4177359141713
2025-04-19 00:00:00-07:00,492.1734998080619
2025-04-20 00:00:00-07:00,458.4399016290032
2025-04-21 00:00:00-07:00,431.7913572696143
2025-04-22 00:00:00-07:00,405.1428129102255
2025-04-23 00:00:00-07:00,378.49426855083664
2025-04-24 00:00:00-07:00,357.117487621228
2025-04-25 00:00:00-07:00,338.54545750439513
2025-04-26 00:00:00-07:00,319.9734273875623
2025-04-27 00:00:00-07:00,301.40139727072943
2025-04-28 00:00:00-07:00,285.05470433429304
2025-04-29 00:00:00-07:00,272.10913637436613
2025-04-30 00:00:00-07:00,259.1635684144392
2025-05-01 00:00:00-07:00,246.21800045451232
2025-05-02 00:00:00-07:00,233.27243249458542
2025-05-03 00:00:00-07:00,222.50498041352606
2025-05-04 00:00:00-07:00,213.4798068322655
2025-05-05 00:00:00-07:00,204.45463325100494
2025-05-06 00:00:00-07:00,195.42945966974438
2025-05-07 00:00:00-07:00,186.40428608848381
2025-05-08 00:00:00-07:00,177.5592483599145
2025-05-09 00:00:00-07:00,171.26622979362
2025-05-10 00:00:00-07:00,164.97321122732546
2025-05-11 00:00:00-07:00,158.68019266103096
2025-05-12 00:00:00-07:00,152.38717409473645
2025-05-13 00:00:00-07:00,146.09415552844192
2025-05-14 00:00:00-07:00,139.8011369621474
2025-05-15 00:00:00-07:00,135.13485678730754
2025-05-16 00:00:00-07:00,130.7462459751014
2025-05-17 00:00:00-07:00,126.35763516289525
2025-05-18 00:00:00-07:00,121.9690243506891
2025-05-19 00:00:00-07:00,117.58041353848294
2025-05-20 00:00:00-07:00,113.1918027262768
2025-05-21 00:00:00-07:00,108.80319191407065
2025-05-22 00:00:00-07:00,105.53336272744947
2025-05-23 00:00:00-07:00,102.47242404650723
2025-05-24 00:00:00-07:00,99.41148536556499
2025-05-25 00:00:00-07:00,96.35054668462274
2025-05-26 00:00:00-07:00,93.28960800368051
2025-05-27 00:00:00-07:00,90.22866932273827
2025-05-28 00:00:00-07:00,87.16773064179603
2025-05-29 00:00:00-07:00,84.10679196085378
2025-05-30 00:00:00-07:00,81.92374458320234
2025-05-31 00:00:00-07:00,79.78855805405284
2025-06-01 00:00:00-07:00,77.65337152490336
2025-06-02 00:00:00-07:00,75.51818499575388
2025-06-03 00:00:00-07:00,73.38299846660439
2025-06-04 00:00:00-07:00,71.24781193745491
2025-06-05 00:00:00-07:00,69.11262540830543
2025-06-06 00:00:00-07:00,66.97743887915594
2025-06-07 00:00:00-07:00,64.89575330457514
2025-06-08 00:00:00-07:00,63.40617300849855
2025-06-09 00:00:00-07:00,61.91659271242196
2025-06-10 00:00:00-07:00,60.42701241634537
2025-06-11 00:00:00-07:00,58.93743212026878
2025-06-12 00:00:00-07:00,57.44785182419219
2025-06-13 00:00:00-07:00,55.958271528115596
2025-06-14 00:00:00-07:00,54.468691232039006
2025-06-15 00:00:00-07:00,52.97911093596242
2025-06-16 00:00:00-07:00,51.48953063988583
2025-06-17 00:00:00-07:00,50.064146844476696
2025-06-18 00:00:00-07:00,48.993824736715545
2025-06-19 00:00:00-07:00,47.923502628954395
2025-06-20 00:00:00-07:00,46.853180521193245
2025-06-21 00:00:00-07:00,45.782858413432095
2025-06-22 00:00:00-07:00,44.71253630567094
2025-06-23 00:00:00-07:00,43.64221419790979
2025-06-24 00:00:00-07:00,42.57189209014864
2025-06-25 00:00:00-07:00,41.50156998238749
2025-06-26 00:00:00-07:00,40.43124787462634
